CM021226.1 Hevea brasiliensis cultivar GT1 chromosome 1, whole genome shotgun sequence
CM021227.1 Hevea brasiliensis cultivar GT1 chromosome 2, whole genome shotgun sequence
CM021228.1 Hevea brasiliensis cultivar GT1 chromosome 3, whole genome shotgun sequence
CM021229.1 Hevea brasiliensis cultivar GT1 chromosome 4, whole genome shotgun sequence
CM021230.1 Hevea brasiliensis cultivar GT1 chromosome 5, whole genome shotgun sequence
CM021231.1 Hevea brasiliensis cultivar GT1 chromosome 6, whole genome shotgun sequence
CM021232.1 Hevea brasiliensis cultivar GT1 chromosome 7, whole genome shotgun sequence
CM021233.1 Hevea brasiliensis cultivar GT1 chromosome 8, whole genome shotgun sequence
CM021234.1 Hevea brasiliensis cultivar GT1 chromosome 9, whole genome shotgun sequence
CM021235.1 Hevea brasiliensis cultivar GT1 chromosome 10, whole genome shotgun sequence
CM021236.1 Hevea brasiliensis cultivar GT1 chromosome 11, whole genome shotgun sequence
CM021237.1 Hevea brasiliensis cultivar GT1 chromosome 12, whole genome shotgun sequence
CM021238.1 Hevea brasiliensis cultivar GT1 chromosome 13, whole genome shotgun sequence
CM021239.1 Hevea brasiliensis cultivar GT1 chromosome 14, whole genome shotgun sequence
CM021240.1 Hevea brasiliensis cultivar GT1 chromosome 15, whole genome shotgun sequence
CM021241.1 Hevea brasiliensis cultivar GT1 chromosome 16, whole genome shotgun sequence
CM021242.1 Hevea brasiliensis cultivar GT1 chromosome 17, whole genome shotgun sequence
CM021243.1 Hevea brasiliensis cultivar GT1 chromosome 18, whole genome shotgun sequence
